file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
bathtub/bathtub_0098.ply,2_fronts,2,334.41,81.84,89.16,0.23,57.08,40.31
chair/chair_0089.ply,1_front,1,271.90,1.90,11.94,0.37,4.73,5.13
chair/chair_0065.ply,1_front,1,248.35,0.85,13.05,5.36,6.42,5.04
glass_box/glass_box_0024.ply,4_fronts,4,256.66,45.00,3.06,1.81,16.62,20.07
airplane/airplane_0089.ply,1_front,1,143.64,171.36,49.78,71.35,97.50,52.97
chair/chair_0799.ply,1_front,1,241.81,5.69,6.98,1.08,4.58,2.53
chair/chair_0412.ply,1_front,1,134.43,0.57,8.76,1.09,3.47,3.75
chair/chair_0688.ply,1_front,1,323.86,8.86,0.34,4.02,4.41,3.49
glass_box/glass_box_0236.ply,4_fronts,4,162.54,21.91,2.27,1.52,8.57,9.44
airplane/airplane_0102.ply,1_front,1,89.25,179.25,27.02,41.85,82.71,68.53
glass_box/glass_box_0138.ply,4_fronts,4,23.05,0.55,19.14,3.13,7.61,8.22
glass_box/glass_box_0050.ply,4_fronts,4,7.57,37.54,3.81,2.79,14.71,16.15
bench/bench_0128.ply,2_fronts,2,199.41,81.84,59.61,6.44,49.30,31.63
chair/chair_0568.ply,1_front,1,211.84,13.16,0.87,2.19,5.41,5.51
bookshelf/bookshelf_0278.ply,2_fronts,2,2.59,81.34,88.48,2.34,57.39,39.03
chair/chair_0936.ply,1_front,1,254.82,29.82,23.24,4.56,19.21,10.70
chair/chair_0446.ply,1_front,1,21.19,23.81,4.42,2.81,10.34,9.54
bathtub/bathtub_0012.ply,1_front,1,24.26,1.76,1.43,175.50,59.56,81.98
chair/chair_0057.ply,1_front,1,11.31,11.19,3.01,1.01,5.07,4.40
bookshelf/bookshelf_0178.ply,1_front,1,118.95,16.05,11.87,24.81,17.58,5.39
chair/chair_0948.ply,1_front,1,185.10,17.40,6.32,1.38,8.37,6.70
chair/chair_0421.ply,1_front,1,100.25,10.25,10.60,0.46,7.10,4.70
bathtub/bathtub_0137.ply,2_fronts,2,174.75,5.25,88.36,0.86,31.49,40.25
chair/chair_0074.ply,1_front,1,194.12,75.88,8.62,15.26,33.25,30.26
bathtub/bathtub_0061.ply,2_fronts,2,260.41,88.34,87.69,0.99,59.01,41.02
chair/chair_0048.ply,1_front,1,317.66,2.66,4.42,1.25,2.78,1.30
glass_box/glass_box_0091.ply,4_fronts,4,207.44,38.69,5.67,1.09,15.15,16.75
bookshelf/bookshelf_0160.ply,2_fronts,2,87.48,78.75,89.20,2.43,56.79,38.68
glass_box/glass_box_0103.ply,4_fronts,4,170.27,45.76,2.28,2.96,17.00,20.34
chair/chair_0240.ply,1_front,1,146.54,10.96,7.44,4.23,7.54,2.75
chair/chair_0155.ply,1_front,1,33.96,11.04,10.05,0.69,7.26,4.67
chair/chair_0620.ply,1_front,1,237.23,12.23,3.58,0.04,5.28,5.12
bench/bench_0045.ply,2_fronts,2,127.55,78.75,89.59,0.79,56.37,39.56
chair/chair_0460.ply,1_front,1,148.00,9.50,14.72,2.51,8.91,5.00
