file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
bathtub/bathtub_0098.ply,2_fronts,2,334.41,81.84,89.14,2.24,57.74,39.36
chair/chair_0089.ply,1_front,1,271.90,1.90,0.92,0.59,1.13,0.56
chair/chair_0065.ply,1_front,1,248.35,0.85,20.13,1.45,7.47,8.95
glass_box/glass_box_0024.ply,4_fronts,4,256.66,46.04,0.94,1.20,16.06,21.20
airplane/airplane_0089.ply,1_front,1,143.64,171.36,10.20,41.96,74.51,69.70
chair/chair_0799.ply,1_front,1,241.81,16.81,10.61,2.29,9.90,5.95
chair/chair_0412.ply,1_front,1,134.43,0.57,1.06,2.10,1.24,0.64
chair/chair_0688.ply,1_front,1,323.86,13.64,2.64,5.26,7.18,4.69
glass_box/glass_box_0236.ply,4_fronts,4,162.54,21.91,1.11,1.78,8.27,9.65
airplane/airplane_0102.ply,1_front,1,89.25,179.25,62.76,0.92,80.97,73.93
glass_box/glass_box_0138.ply,4_fronts,4,23.05,0.55,21.87,3.71,8.71,9.39
glass_box/glass_box_0050.ply,4_fronts,4,7.57,46.84,2.45,0.21,16.50,21.47
bench/bench_0128.ply,2_fronts,2,199.41,56.25,89.38,2.83,49.49,35.66
chair/chair_0568.ply,1_front,1,211.84,9.34,5.52,1.81,5.55,3.07
bookshelf/bookshelf_0278.ply,2_fronts,2,2.59,81.34,89.28,0.61,57.08,40.06
chair/chair_0936.ply,1_front,1,254.82,29.82,17.55,1.04,16.14,11.79
chair/chair_0446.ply,1_front,1,21.19,1.31,4.62,3.37,3.10,1.37
bathtub/bathtub_0012.ply,1_front,1,24.26,1.76,53.80,179.25,78.27,74.49
chair/chair_0057.ply,1_front,1,11.31,11.19,0.95,0.46,4.20,4.95
bookshelf/bookshelf_0178.ply,1_front,1,118.95,16.05,13.98,14.74,14.92,0.85
chair/chair_0948.ply,1_front,1,185.10,17.40,2.46,1.49,7.12,7.28
chair/chair_0421.ply,1_front,1,100.25,12.25,24.95,0.50,12.57,9.99
bathtub/bathtub_0137.ply,2_fronts,2,174.75,5.25,88.61,1.19,31.68,40.29
chair/chair_0074.ply,1_front,1,194.12,8.38,20.21,12.87,13.82,4.88
bathtub/bathtub_0061.ply,2_fronts,2,260.41,88.34,88.05,1.60,59.33,40.82
chair/chair_0048.ply,1_front,1,317.66,2.66,5.29,0.71,2.89,1.88
glass_box/glass_box_0091.ply,4_fronts,4,207.44,38.69,9.33,2.40,16.81,15.73
bookshelf/bookshelf_0160.ply,2_fronts,2,87.48,81.27,89.77,2.13,57.72,39.46
glass_box/glass_box_0103.ply,4_fronts,4,170.27,49.86,2.58,2.27,18.24,22.36
chair/chair_0240.ply,1_front,1,146.54,10.96,13.09,4.49,9.51,3.66
chair/chair_0155.ply,1_front,1,33.96,11.04,7.99,0.24,6.42,4.55
chair/chair_0620.ply,1_front,1,237.23,12.23,0.73,0.89,4.62,5.39
bench/bench_0045.ply,2_fronts,2,127.55,78.75,89.86,1.41,56.67,39.34
chair/chair_0460.ply,1_front,1,148.00,9.50,3.36,3.46,5.44,2.87
chair/chair_0782.ply,1_front,1,310.98,4.02,15.65,0.57,6.75,6.45
glass_box/glass_box_0216.ply,4_fronts,4,19.50,28.13,2.23,3.71,11.35,11.87
chair/chair_0943.ply,1_front,1,235.24,10.24,3.70,2.62,5.52,3.37
glass_box/glass_box_0188.ply,4_fronts,4,232.62,7.62,0.84,0.83,3.10,3.20
chair/chair_0227.ply,1_front,1,21.82,179.32,1.40,2.63,61.12,83.58
chair/chair_0472.ply,1_front,1,262.16,14.66,0.73,4.41,6.60,5.89
chair/chair_0342.ply,1_front,1,288.21,4.29,6.90,2.58,4.59,1.78
chair/chair_0371.ply,1_front,1,39.34,5.66,4.42,2.73,4.27,1.20
chair/chair_0216.ply,1_front,1,68.97,1.47,5.30,2.58,3.11,1.61
chair/chair_0978.ply,1_front,1,193.06,9.44,5.21,1.10,5.25,3.40
airplane/airplane_0167.ply,1_front,1,50.47,174.53,2.72,13.26,63.50,78.63
airplane/airplane_0057.ply,1_front,1,66.06,178.56,0.88,37.67,72.37,76.57
bookshelf/bookshelf_0223.ply,1_front,1,166.55,13.45,13.78,177.45,68.23,77.23
wardrobe/wardrobe_0094.ply,1_front,1,314.81,179.81,89.48,177.63,148.98,42.08
bookshelf/bookshelf_0032.ply,2_fronts,2,27.14,83.39,89.84,2.88,58.70,39.56
chair/chair_0045.ply,1_front,1,290.89,1.61,8.81,0.82,3.75,3.59
chair/chair_0459.ply,1_front,1,308.15,6.85,11.24,4.35,7.48,2.85
glass_box/glass_box_0094.ply,4_fronts,4,35.25,26.63,2.27,2.13,10.34,11.52
chair/chair_0437.ply,1_front,1,234.77,9.77,1.62,0.27,3.89,4.20
bench/bench_0091.ply,2_fronts,2,194.61,86.64,46.78,5.34,46.25,33.19
chair/chair_0772.ply,1_front,1,5.31,17.19,12.54,4.50,11.41,5.24
bookshelf/bookshelf_0126.ply,1_front,1,33.57,168.93,3.55,4.69,59.05,77.69
airplane/airplane_0116.ply,1_front,1,271.28,178.72,4.80,85.05,89.52,71.07
bookshelf/bookshelf_0104.ply,2_fronts,2,85.10,83.65,87.05,0.59,57.10,39.98
airplane/airplane_0140.ply,1_front,1,146.31,11.31,5.50,13.65,10.15,3.43
bench/bench_0070.ply,2_fronts,2,173.29,85.46,84.87,1.41,57.25,39.48
bench/bench_0172.ply,2_fronts,2,311.27,78.75,48.02,0.53,42.43,32.18
chair/chair_0480.ply,1_front,1,324.88,9.88,18.02,0.20,9.37,7.28
bookshelf/bookshelf_0272.ply,2_fronts,2,59.27,86.98,88.65,0.03,58.55,41.39
chair/chair_0920.ply,1_front,1,0.78,21.72,32.39,7.85,20.65,10.05
glass_box/glass_box_0213.ply,4_fronts,4,140.55,5.55,6.17,0.11,3.94,2.72
chair/chair_0316.ply,1_front,1,333.55,3.95,0.76,0.23,1.65,1.64
bench/bench_0028.ply,1_front,1,282.65,167.35,9.80,1.55,59.57,76.29
bench/bench_0174.ply,2_fronts,2,102.69,78.75,88.49,3.04,56.76,38.19
chair/chair_0816.ply,1_front,1,250.77,3.27,11.01,0.84,5.04,4.33
chair/chair_0674.ply,1_front,1,262.98,37.98,8.58,3.60,16.72,15.17
chair/chair_0578.ply,1_front,1,282.01,34.51,9.32,10.76,18.20,11.55
chair/chair_0350.ply,1_front,1,238.27,13.27,4.50,2.54,6.77,4.67
bookshelf/bookshelf_0069.ply,1_front,1,175.20,4.80,34.46,154.13,64.46,64.55
bookshelf/bookshelf_0242.ply,2_fronts,2,68.36,79.61,89.22,0.01,56.28,39.98
bench/bench_0124.ply,1_front,1,78.37,169.13,173.53,173.95,172.20,2.18
chair/chair_0474.ply,1_front,1,21.05,1.45,1.50,2.39,1.78,0.43
chair/chair_0167.ply,1_front,1,264.87,5.13,7.99,0.06,4.40,3.28
chair/chair_0866.ply,1_front,1,21.94,0.56,20.27,0.07,6.97,9.41
bookshelf/bookshelf_0273.ply,1_front,1,112.90,0.40,8.92,172.14,60.49,79.03
