file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
bathtub/bathtub_0098.ply,2_fronts,2,334.41,81.84,89.36,1.81,57.67,39.62
chair/chair_0089.ply,1_front,1,271.90,1.90,0.75,1.91,1.52,0.54
chair/chair_0065.ply,1_front,1,248.35,0.85,11.40,4.15,5.47,4.41
glass_box/glass_box_0024.ply,4_fronts,4,256.66,45.00,0.76,1.50,15.75,20.68
airplane/airplane_0089.ply,1_front,1,143.64,171.36,62.79,51.21,95.12,54.12
chair/chair_0799.ply,1_front,1,241.81,5.69,10.04,0.44,5.39,3.93
chair/chair_0412.ply,1_front,1,134.43,0.57,0.60,2.22,1.13,0.77
chair/chair_0688.ply,1_front,1,323.86,8.86,3.52,1.99,4.79,2.94
glass_box/glass_box_0236.ply,4_fronts,4,162.54,5.04,4.64,1.79,3.82,1.44
airplane/airplane_0102.ply,1_front,1,89.25,179.25,103.99,62.94,115.39,48.16
glass_box/glass_box_0138.ply,4_fronts,4,23.05,0.55,9.43,2.40,4.13,3.83
glass_box/glass_box_0050.ply,4_fronts,4,7.57,71.29,0.75,1.52,24.52,33.07
bench/bench_0128.ply,2_fronts,2,199.41,81.84,24.06,4.46,36.79,32.85
chair/chair_0568.ply,1_front,1,211.84,13.16,8.83,1.72,7.90,4.72
bookshelf/bookshelf_0278.ply,2_fronts,2,2.59,81.34,89.37,2.98,57.89,38.97
chair/chair_0936.ply,1_front,1,254.82,29.82,22.00,1.64,17.82,11.88
chair/chair_0446.ply,1_front,1,21.19,23.81,2.49,5.46,10.58,9.43
bathtub/bathtub_0012.ply,1_front,1,24.26,178.24,5.48,179.44,121.05,81.72
chair/chair_0057.ply,1_front,1,11.31,11.19,6.24,3.79,7.07,3.08
bookshelf/bookshelf_0178.ply,1_front,1,118.95,6.45,11.50,126.59,48.18,55.48
chair/chair_0948.ply,1_front,1,185.10,5.10,7.80,1.19,4.70,2.71
chair/chair_0421.ply,1_front,1,100.25,10.25,15.87,3.48,9.87,5.06
bathtub/bathtub_0137.ply,2_fronts,2,174.75,45.00,83.51,1.44,43.32,33.53
chair/chair_0074.ply,1_front,1,194.12,14.12,52.55,4.08,23.59,20.89
bathtub/bathtub_0061.ply,2_fronts,2,260.41,88.34,88.03,0.21,58.86,41.47
chair/chair_0048.ply,1_front,1,317.66,2.66,1.33,0.20,1.39,1.01
glass_box/glass_box_0091.ply,4_fronts,4,207.44,38.69,6.32,1.05,15.35,16.64
bookshelf/bookshelf_0160.ply,2_fronts,2,87.48,81.27,88.91,2.02,57.40,39.28
glass_box/glass_box_0103.ply,4_fronts,4,170.27,45.76,1.19,2.29,16.41,20.76
chair/chair_0240.ply,1_front,1,146.54,10.96,3.44,6.17,6.86,3.11
chair/chair_0155.ply,1_front,1,33.96,11.04,11.93,1.44,8.14,4.75
chair/chair_0620.ply,1_front,1,237.23,12.23,17.64,4.20,11.36,5.52
bench/bench_0045.ply,2_fronts,2,127.55,78.75,89.10,1.08,56.31,39.28
chair/chair_0460.ply,1_front,1,148.00,9.50,4.12,5.51,6.38,2.28
chair/chair_0782.ply,1_front,1,310.98,4.02,2.68,3.03,3.25,0.57
glass_box/glass_box_0216.ply,4_fronts,4,19.50,3.00,3.23,4.85,3.69,0.82
chair/chair_0943.ply,1_front,1,235.24,10.24,0.70,0.52,3.82,4.54
glass_box/glass_box_0188.ply,4_fronts,4,232.62,7.62,2.31,0.34,3.43,3.08
chair/chair_0227.ply,1_front,1,21.82,23.18,4.75,6.08,11.34,8.39
chair/chair_0472.ply,1_front,1,262.16,14.66,3.87,1.30,6.61,5.79
chair/chair_0342.ply,1_front,1,288.21,4.29,4.07,0.88,3.08,1.56
chair/chair_0371.ply,1_front,1,39.34,5.66,6.79,4.40,5.62,0.98
chair/chair_0216.ply,1_front,1,68.97,1.47,2.50,2.79,2.26,0.57
chair/chair_0978.ply,1_front,1,193.06,9.44,1.30,0.36,3.70,4.08
airplane/airplane_0167.ply,1_front,1,50.47,174.53,1.60,11.03,62.39,79.39
airplane/airplane_0057.ply,1_front,1,66.06,178.56,2.86,42.04,74.48,75.31
bookshelf/bookshelf_0223.ply,1_front,1,166.55,13.45,10.23,177.34,67.01,78.03
wardrobe/wardrobe_0094.ply,1_front,1,314.81,179.81,89.71,176.84,148.79,41.79
bookshelf/bookshelf_0032.ply,2_fronts,2,27.14,83.39,89.82,2.45,58.55,39.76
chair/chair_0045.ply,1_front,1,290.89,1.61,20.76,0.04,7.47,9.42
chair/chair_0459.ply,1_front,1,308.15,6.85,21.10,0.01,9.32,8.79
glass_box/glass_box_0094.ply,4_fronts,4,35.25,9.75,6.12,2.25,6.04,3.06
chair/chair_0437.ply,1_front,1,234.77,9.77,7.93,46.31,21.34,17.68
bench/bench_0091.ply,2_fronts,2,194.61,45.00,47.90,4.52,32.47,19.80
chair/chair_0772.ply,1_front,1,5.31,17.19,1.37,10.04,9.53,6.47
bookshelf/bookshelf_0126.ply,1_front,1,33.57,11.43,10.36,3.32,8.37,3.60
airplane/airplane_0116.ply,1_front,1,271.28,178.72,4.36,134.40,105.83,73.99
bookshelf/bookshelf_0104.ply,2_fronts,2,85.10,83.65,88.15,1.27,57.69,39.94
airplane/airplane_0140.ply,1_front,1,146.31,11.31,0.66,6.59,6.19,4.36
bench/bench_0070.ply,2_fronts,2,173.29,85.46,81.65,0.79,55.97,39.05
bench/bench_0172.ply,2_fronts,2,311.27,78.75,86.64,1.53,55.64,38.40
chair/chair_0480.ply,1_front,1,324.88,9.88,6.88,0.89,5.88,3.74
bookshelf/bookshelf_0272.ply,2_fronts,2,59.27,86.98,89.13,0.74,58.95,41.17
chair/chair_0920.ply,1_front,1,0.78,21.72,25.10,2.73,16.52,9.84
glass_box/glass_box_0213.ply,4_fronts,4,140.55,5.55,2.06,0.06,2.56,2.27
chair/chair_0316.ply,1_front,1,333.55,3.95,1.82,0.95,2.24,1.26
bench/bench_0028.ply,1_front,1,282.65,167.35,9.42,2.11,59.63,76.23
bench/bench_0174.ply,2_fronts,2,102.69,78.75,89.68,1.08,56.50,39.45
chair/chair_0816.ply,1_front,1,250.77,3.27,6.84,1.18,3.76,2.33
chair/chair_0674.ply,1_front,1,262.98,7.02,18.92,1.24,9.06,7.36
chair/chair_0578.ply,1_front,1,282.01,34.51,5.36,9.19,16.35,12.93
chair/chair_0350.ply,1_front,1,238.27,13.27,4.05,0.06,5.79,5.53
bookshelf/bookshelf_0069.ply,1_front,1,175.20,4.80,36.46,166.04,69.10,69.76
bookshelf/bookshelf_0242.ply,2_fronts,2,68.36,79.61,81.75,0.27,53.88,37.91
bench/bench_0124.ply,1_front,1,78.37,169.13,175.35,172.10,172.19,2.54
chair/chair_0474.ply,1_front,1,21.05,1.45,1.14,1.78,1.46,0.26
chair/chair_0167.ply,1_front,1,264.87,5.13,12.70,1.32,6.38,4.73
chair/chair_0866.ply,1_front,1,21.94,0.56,9.53,4.17,4.75,3.69
bookshelf/bookshelf_0273.ply,1_front,1,112.90,0.40,5.11,178.19,61.23,82.72
glass_box/glass_box_0027.ply,4_fronts,4,18.05,4.45,5.29,4.21,4.65,0.46
chair/chair_0959.ply,1_front,1,171.64,8.36,6.55,0.23,5.05,3.48
glass_box/glass_box_0248.ply,4_fronts,4,330.98,28.12,5.60,0.97,11.56,11.86
glass_box/glass_box_0242.ply,4_fronts,4,191.21,45.00,1.91,1.60,16.17,20.39
bathtub/bathtub_0149.ply,2_fronts,2,20.48,80.77,87.85,0.01,56.21,39.84
bench/bench_0142.ply,1_front,1,182.82,177.18,5.60,177.30,120.03,80.91
bench/bench_0108.ply,2_fronts,2,306.48,87.27,87.89,0.82,58.66,40.90
bench/bench_0058.ply,2_fronts,2,24.67,78.75,89.30,2.76,56.94,38.55
bookshelf/bookshelf_0122.ply,1_front,1,24.47,178.03,13.22,5.49,65.58,79.58
bench/bench_0051.ply,2_fronts,2,310.25,83.50,37.41,1.02,40.64,33.75
glass_box/glass_box_0163.ply,4_fronts,4,145.36,44.11,51.42,1.87,32.47,21.84
chair/chair_0797.ply,1_front,1,338.97,1.47,19.69,4.24,8.47,8.02
airplane/airplane_0135.ply,1_front,1,205.08,2.58,1.56,45.46,16.54,20.46
bookshelf/bookshelf_0081.ply,1_front,1,208.41,5.91,13.99,173.10,64.33,76.98
chair/chair_0770.ply,1_front,1,14.31,8.19,3.81,2.89,4.96,2.31
bookshelf/bookshelf_0197.ply,2_fronts,2,29.51,85.76,82.54,4.37,57.56,37.63
glass_box/glass_box_0237.ply,4_fronts,4,236.65,45.00,2.91,0.75,16.22,20.37
wardrobe/wardrobe_0070.ply,2_fronts,2,203.48,45.00,5.48,5.24,18.57,18.69
chair/chair_0281.ply,1_front,1,113.89,1.39,33.50,6.87,13.92,14.02
glass_box/glass_box_0200.ply,4_fronts,4,93.88,28.13,1.85,0.46,10.14,12.73
chair/chair_0806.ply,1_front,1,241.10,16.10,1.53,3.55,7.06,6.44
airplane/airplane_0068.ply,1_front,1,113.11,0.61,16.75,70.74,29.36,29.99
bookshelf/bookshelf_0216.ply,1_front,1,95.62,16.88,9.87,2.19,9.65,6.00
chair/chair_0927.ply,1_front,1,47.12,2.12,27.42,3.74,11.09,11.56
airplane/airplane_0210.ply,1_front,1,232.38,7.38,1.88,83.13,30.80,37.07
airplane/airplane_0181.ply,1_front,1,164.60,7.10,4.44,83.15,31.56,36.49
chair/chair_0826.ply,1_front,1,334.45,176.95,55.22,2.05,78.07,73.21
chair/chair_0217.ply,1_front,1,336.86,0.64,10.24,4.21,5.03,3.97
bathtub/bathtub_0088.ply,2_fronts,2,3.35,82.10,89.77,0.10,57.33,40.59
chair/chair_0127.ply,4_fronts,4,223.62,67.50,88.78,2.11,52.80,36.88
chair/chair_0545.ply,1_front,1,202.68,0.18,9.15,3.19,4.17,3.73
chair/chair_0976.ply,1_front,1,35.99,9.01,7.56,1.41,5.99,3.29
bookshelf/bookshelf_0107.ply,2_fronts,2,193.55,87.70,89.24,6.33,61.09,38.73
chair/chair_0784.ply,1_front,1,182.12,2.12,2.36,0.19,1.56,0.97
chair/chair_0088.ply,1_front,1,47.68,19.82,3.03,1.62,8.15,8.27
bench/bench_0036.ply,2_fronts,2,125.64,9.36,89.96,1.17,33.50,40.07
chair/chair_0283.ply,1_front,1,24.76,177.74,8.68,2.84,63.08,81.11
chair/chair_0685.ply,1_front,1,87.94,2.06,0.82,3.08,1.99,0.92
chair/chair_0095.ply,1_front,1,102.60,77.40,17.61,5.89,33.63,31.32
airplane/airplane_0142.ply,1_front,1,157.75,0.25,1.34,12.47,4.68,5.52
flower_pot/flower_pot_0010.ply,4_fronts,4,195.56,46.32,54.44,2.43,34.39,22.84
bench/bench_0033.ply,2_fronts,2,108.91,82.34,89.27,0.79,57.47,40.18
airplane/airplane_0097.ply,1_front,1,354.19,28.31,149.97,166.40,114.89,61.59
glass_box/glass_box_0250.ply,4_fronts,4,290.56,34.72,68.49,4.78,36.00,26.02
bench/bench_0175.ply,2_fronts,2,190.42,89.17,89.20,4.43,60.93,39.96
bench/bench_0065.ply,1_front,1,240.43,7.07,177.72,148.09,110.96,74.45
bench/bench_0037.ply,2_fronts,2,199.66,81.59,89.98,4.79,58.79,38.34
airplane/airplane_0034.ply,1_front,1,335.43,2.07,1.75,54.85,19.56,24.96
airplane/airplane_0061.ply,1_front,1,37.29,172.29,6.09,0.03,59.47,79.81
bookshelf/bookshelf_0249.ply,1_front,1,316.13,1.13,1.39,3.69,2.07,1.15
airplane/airplane_0076.ply,1_front,1,95.21,174.79,19.77,2.07,65.54,77.59
chair/chair_0899.ply,1_front,1,320.30,5.30,1.20,0.08,2.19,2.24
chair/chair_0851.ply,1_front,1,267.27,2.73,124.53,2.32,43.19,57.51
glass_box/glass_box_0002.ply,4_fronts,4,55.96,45.14,8.18,2.01,18.44,19.05
chair/chair_0176.ply,1_front,1,101.43,11.43,22.76,0.30,11.50,9.17
chair/chair_0228.ply,1_front,1,75.83,14.17,4.97,2.75,7.30,4.94
chair/chair_0234.ply,1_front,1,123.44,10.94,2.57,0.27,4.59,4.58
bathtub/bathtub_0140.ply,2_fronts,2,247.50,78.75,89.79,3.41,57.32,38.38
chair/chair_0082.ply,1_front,1,307.05,7.95,4.80,2.01,4.92,2.43
glass_box/glass_box_0145.ply,4_fronts,4,181.95,34.72,1.52,1.33,12.52,15.70
bathtub/bathtub_0143.ply,2_fronts,2,90.40,78.75,88.43,1.13,56.11,39.07
chair/chair_0067.ply,1_front,1,326.94,11.94,2.01,2.91,5.62,4.48
chair/chair_0509.ply,1_front,1,18.29,175.79,22.79,1.15,66.57,77.73
airplane/airplane_0211.ply,1_front,1,228.34,3.34,24.22,148.03,58.53,63.86
bookshelf/bookshelf_0276.ply,2_fronts,2,298.57,84.82,89.76,0.55,58.38,40.94
