file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
bathtub/bathtub_0098.ply,2_fronts,2,334.41,81.84,88.16,1.31,57.10,39.53
chair/chair_0089.ply,1_front,1,271.90,1.90,1.95,3.57,2.47,0.78
chair/chair_0065.ply,1_front,1,248.35,0.85,2.96,3.71,2.50,1.21
glass_box/glass_box_0024.ply,4_fronts,4,256.66,9.16,0.92,1.62,3.90,3.73
airplane/airplane_0089.ply,1_front,1,143.64,171.36,11.46,49.80,77.54,68.16
chair/chair_0799.ply,1_front,1,241.81,16.81,14.40,0.36,10.52,7.25
chair/chair_0412.ply,1_front,1,134.43,0.57,1.20,1.73,1.17,0.48
chair/chair_0688.ply,1_front,1,323.86,13.64,3.78,1.84,6.42,5.17
glass_box/glass_box_0236.ply,4_fronts,4,162.54,38.79,1.65,2.07,14.17,17.41
airplane/airplane_0102.ply,1_front,1,89.25,179.25,77.56,17.04,91.28,66.93
glass_box/glass_box_0138.ply,4_fronts,4,23.05,0.55,11.82,2.76,5.04,4.87
glass_box/glass_box_0050.ply,4_fronts,4,7.57,61.88,8.57,1.48,23.98,26.95
bench/bench_0128.ply,2_fronts,2,199.41,56.25,70.99,3.78,43.67,28.84
chair/chair_0568.ply,1_front,1,211.84,9.34,9.09,0.90,6.44,3.92
bookshelf/bookshelf_0278.ply,2_fronts,2,2.59,81.34,89.95,4.24,58.51,38.54
chair/chair_0936.ply,1_front,1,254.82,29.82,27.04,9.00,21.96,9.23
chair/chair_0446.ply,1_front,1,21.19,23.81,11.18,3.83,12.94,8.25
bathtub/bathtub_0012.ply,1_front,1,24.26,178.24,1.18,172.10,117.17,82.06
chair/chair_0057.ply,1_front,1,11.31,11.19,3.96,2.77,5.98,3.72
bookshelf/bookshelf_0178.ply,1_front,1,118.95,16.05,10.57,137.75,54.79,58.71
chair/chair_0948.ply,1_front,1,185.10,17.40,1.42,3.02,7.28,7.19
chair/chair_0421.ply,1_front,1,100.25,10.25,14.44,1.67,8.79,5.31
bathtub/bathtub_0137.ply,2_fronts,2,174.75,5.25,80.88,1.27,29.14,36.63
chair/chair_0074.ply,1_front,1,194.12,36.62,5.21,3.10,14.98,15.33
bathtub/bathtub_0061.ply,2_fronts,2,260.41,88.34,87.96,0.72,59.01,41.22
chair/chair_0048.ply,1_front,1,317.66,2.66,10.74,0.65,4.68,4.36
glass_box/glass_box_0091.ply,4_fronts,4,207.44,38.69,5.46,1.20,15.11,16.76
bookshelf/bookshelf_0160.ply,2_fronts,2,87.48,78.75,89.39,0.58,56.24,39.60
glass_box/glass_box_0103.ply,4_fronts,4,170.27,45.00,1.62,2.55,16.39,20.23
chair/chair_0240.ply,1_front,1,146.54,10.96,5.30,5.85,7.37,2.55
chair/chair_0155.ply,1_front,1,33.96,11.04,1.31,3.16,5.17,4.22
chair/chair_0620.ply,1_front,1,237.23,12.23,2.46,1.61,5.44,4.82
bench/bench_0045.ply,2_fronts,2,127.55,78.75,88.93,0.39,56.02,39.56
chair/chair_0460.ply,1_front,1,148.00,9.50,6.27,5.85,7.21,1.63
chair/chair_0782.ply,1_front,1,310.98,4.02,2.96,0.39,2.46,1.52
glass_box/glass_box_0216.ply,4_fronts,4,19.50,28.13,4.07,3.65,11.95,11.44
chair/chair_0943.ply,1_front,1,235.24,10.24,2.75,1.45,4.82,3.87
glass_box/glass_box_0188.ply,4_fronts,4,232.62,7.62,1.94,0.38,3.32,3.11
chair/chair_0227.ply,1_front,1,21.82,0.68,3.12,1.84,1.88,1.00
chair/chair_0472.ply,1_front,1,262.16,7.84,2.74,1.51,4.03,2.74
chair/chair_0342.ply,1_front,1,288.21,4.29,3.44,0.27,2.67,1.73
chair/chair_0371.ply,1_front,1,39.34,5.66,7.15,4.96,5.92,0.91
chair/chair_0216.ply,1_front,1,68.97,1.47,2.01,2.47,1.98,0.41
chair/chair_0978.ply,1_front,1,193.06,9.44,4.06,0.24,4.58,3.77
