file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
glass_box/glass_box_0262.ply,4_fronts,4,319.96,4.96,8.17,10.00,7.71,2.09
chair/chair_0578.ply,1_front,1,112.14,135.36,156.82,152.20,148.13,9.22
bookshelf/bookshelf_0086.ply,2_fronts,2,172.37,86.38,88.79,16.69,63.95,33.43
bench/bench_0075.ply,2_fronts,2,32.59,78.75,88.97,67.37,78.36,8.82
bench/bench_0051.ply,2_fronts,2,252.87,78.75,58.69,35.82,57.75,17.54
airplane/airplane_0029.ply,1_front,1,93.28,176.72,167.98,113.28,152.66,28.07
airplane/airplane_0133.ply,1_front,1,258.43,168.43,175.79,123.28,155.83,23.21
bookshelf/bookshelf_0041.ply,1_front,1,186.93,6.93,8.75,162.81,59.49,73.06
bathtub/bathtub_0130.ply,2_fronts,2,321.02,78.75,89.53,76.01,81.43,5.84
chair/chair_0537.ply,1_front,1,103.31,166.69,157.37,152.91,158.99,5.74
bathtub/bathtub_0139.ply,2_fronts,2,26.40,78.75,88.75,55.48,74.33,13.94
bench/bench_0036.ply,2_fronts,2,46.70,78.75,76.64,82.39,79.26,2.38
chair/chair_0553.ply,1_front,1,26.48,71.48,56.67,55.09,61.08,7.38
bathtub/bathtub_0015.ply,2_fronts,2,24.45,78.75,88.46,50.85,72.68,15.94
chair/chair_0896.ply,1_front,1,134.40,90.60,138.88,93.99,107.82,22.00
airplane/airplane_0059.ply,1_front,1,146.20,101.20,109.00,68.78,92.99,17.41
chair/chair_0045.ply,1_front,1,13.90,36.40,33.26,30.50,33.39,2.41
bench/bench_0061.ply,2_fronts,2,251.55,40.95,82.68,38.79,54.14,20.20
airplane/airplane_0137.ply,1_front,1,321.28,83.72,68.69,105.74,86.05,15.22
glass_box/glass_box_0248.ply,4_fronts,4,11.53,50.77,23.41,25.46,33.21,12.44
chair/chair_0499.ply,1_front,1,172.22,7.78,27.33,19.98,18.37,8.06
airplane/airplane_0095.ply,1_front,1,317.52,87.48,98.18,43.58,76.41,23.62
chair/chair_0805.ply,1_front,1,239.22,104.22,122.25,122.03,116.16,8.45
wardrobe/wardrobe_0035.ply,2_fronts,2,42.75,47.25,51.25,86.85,61.78,17.80
chair/chair_0133.ply,1_front,1,135.31,89.69,85.49,88.91,88.03,1.82
bookshelf/bookshelf_0243.ply,1_front,1,55.42,100.42,152.69,130.35,127.82,21.41
chair/chair_0770.ply,1_front,1,351.73,8.27,19.71,16.75,14.91,4.85
chair/chair_0320.ply,1_front,1,54.66,122.16,102.69,111.45,112.10,7.96
chair/chair_0817.ply,1_front,1,180.09,22.59,19.67,13.41,18.56,3.83
bookshelf/bookshelf_0033.ply,2_fronts,2,199.68,78.75,87.05,71.27,79.02,6.44
chair/chair_0172.ply,1_front,1,205.84,70.84,113.21,48.87,77.64,26.70
airplane/airplane_0182.ply,1_front,1,36.36,98.64,67.10,99.03,88.26,14.96
airplane/airplane_0114.ply,1_front,1,53.62,81.38,71.35,116.60,89.78,19.40
glass_box/glass_box_0019.ply,4_fronts,4,89.23,56.25,21.09,9.84,29.06,19.77
airplane/airplane_0086.ply,1_front,1,282.40,145.10,156.81,152.42,151.44,4.83
bench/bench_0167.ply,1_front,1,257.32,35.18,145.65,20.91,67.25,55.75
bookshelf/bookshelf_0212.ply,1_front,1,343.65,16.35,28.48,38.25,27.70,8.96
bookshelf/bookshelf_0104.ply,2_fronts,2,293.86,78.75,89.44,48.75,72.32,17.23
