file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
bathtub/bathtub_0098.ply,2_fronts,2,334.41,78.75,89.12,53.18,73.69,15.10
chair/chair_0089.ply,1_front,1,271.90,178.10,177.51,174.66,176.76,1.50
chair/chair_0065.ply,1_front,1,248.35,135.85,134.28,132.43,134.19,1.40
glass_box/glass_box_0024.ply,4_fronts,4,256.66,39.37,25.16,27.94,30.83,6.15
airplane/airplane_0089.ply,1_front,1,143.64,98.64,106.44,16.98,74.02,40.46
chair/chair_0799.ply,1_front,1,241.81,106.81,133.57,125.16,121.84,11.17
chair/chair_0412.ply,1_front,1,134.43,90.57,90.56,92.55,91.23,0.94
chair/chair_0688.ply,1_front,1,323.86,81.14,77.26,74.78,77.72,2.62
glass_box/glass_box_0236.ply,4_fronts,4,162.54,41.89,33.22,36.45,37.19,3.58
airplane/airplane_0102.ply,1_front,1,89.25,0.75,127.26,121.03,83.01,58.22
glass_box/glass_box_0138.ply,4_fronts,4,23.05,44.45,38.93,41.82,41.73,2.26
glass_box/glass_box_0050.ply,4_fronts,4,7.57,67.50,15.01,14.82,32.44,24.79
bench/bench_0128.ply,2_fronts,2,199.41,86.91,28.61,43.01,52.84,24.80
chair/chair_0568.ply,1_front,1,211.84,76.84,60.27,65.32,67.48,6.93
bookshelf/bookshelf_0278.ply,2_fronts,2,2.59,78.75,89.66,7.99,58.80,36.20
chair/chair_0936.ply,1_front,1,254.82,119.82,167.67,147.89,145.13,19.63
chair/chair_0446.ply,1_front,1,21.19,66.19,48.60,47.16,53.99,8.65
bathtub/bathtub_0012.ply,1_front,1,24.26,133.24,52.41,132.73,106.12,37.98
chair/chair_0057.ply,1_front,1,11.31,33.81,26.39,26.54,28.91,3.46
bookshelf/bookshelf_0178.ply,1_front,1,118.95,106.05,116.37,85.83,102.75,12.68
chair/chair_0948.ply,1_front,1,185.10,27.60,2.60,12.49,14.23,10.28
chair/chair_0421.ply,1_front,1,100.25,169.75,176.84,156.66,167.75,8.36
bathtub/bathtub_0137.ply,2_fronts,2,174.75,5.25,76.43,12.47,31.38,31.99
chair/chair_0074.ply,1_front,1,194.12,30.88,73.97,29.28,44.71,20.70
bathtub/bathtub_0061.ply,2_fronts,2,260.41,78.75,88.91,20.85,62.84,29.98
chair/chair_0048.ply,1_front,1,317.66,87.34,96.99,84.96,89.77,5.20
glass_box/glass_box_0091.ply,4_fronts,4,207.44,33.75,27.19,33.46,31.47,3.03
bookshelf/bookshelf_0160.ply,2_fronts,2,87.48,81.27,89.23,3.45,57.98,38.70
glass_box/glass_box_0103.ply,4_fronts,4,170.27,39.38,19.20,21.52,26.70,9.01
chair/chair_0240.ply,1_front,1,146.54,55.96,71.82,73.17,66.98,7.81
chair/chair_0155.ply,1_front,1,33.96,78.96,74.20,70.50,74.55,3.46
chair/chair_0620.ply,1_front,1,237.23,102.23,123.11,112.97,112.77,8.52
bench/bench_0045.ply,2_fronts,2,127.55,78.75,86.68,76.43,80.62,4.39
chair/chair_0460.ply,1_front,1,148.00,54.50,55.72,68.62,59.61,6.39
chair/chair_0782.ply,1_front,1,310.98,26.52,120.51,100.42,82.48,40.41
glass_box/glass_box_0216.ply,4_fronts,4,19.50,39.38,35.57,44.34,39.76,3.59
chair/chair_0943.ply,1_front,1,235.24,100.24,113.32,111.23,108.27,5.74
glass_box/glass_box_0188.ply,4_fronts,4,232.62,7.62,16.36,15.49,13.16,3.93
chair/chair_0227.ply,1_front,1,21.82,135.68,43.40,48.67,75.92,42.31
chair/chair_0472.ply,1_front,1,262.16,149.66,165.52,163.42,159.53,7.03
chair/chair_0342.ply,1_front,1,288.21,139.29,144.35,142.60,142.08,2.10
chair/chair_0371.ply,1_front,1,39.34,84.34,67.80,82.46,78.20,7.40
chair/chair_0216.ply,1_front,1,68.97,136.47,138.49,134.66,136.54,1.57
chair/chair_0978.ply,1_front,1,193.06,35.56,26.45,26.20,29.40,4.36
airplane/airplane_0167.ply,1_front,1,50.47,84.53,97.45,88.06,90.01,5.45
airplane/airplane_0057.ply,1_front,1,66.06,46.44,130.50,93.66,90.20,34.40
bookshelf/bookshelf_0223.ply,1_front,1,166.55,13.45,36.92,149.19,66.52,59.23
wardrobe/wardrobe_0094.ply,1_front,1,314.81,179.81,91.36,91.68,120.95,41.62
bookshelf/bookshelf_0032.ply,2_fronts,2,27.14,78.75,89.23,56.00,74.66,13.87
chair/chair_0045.ply,1_front,1,290.89,136.61,159.89,138.68,145.06,10.52
chair/chair_0459.ply,1_front,1,308.15,96.85,97.34,104.40,99.53,3.45
glass_box/glass_box_0094.ply,4_fronts,4,35.25,9.75,20.92,17.62,16.10,4.68
chair/chair_0437.ply,1_front,1,234.77,99.77,115.07,75.84,96.90,16.14
bench/bench_0091.ply,2_fronts,2,194.61,78.75,47.30,34.30,53.45,18.66
chair/chair_0772.ply,1_front,1,5.31,27.81,10.14,19.13,19.03,7.22
bookshelf/bookshelf_0126.ply,1_front,1,33.57,78.57,73.47,70.50,74.18,3.34
airplane/airplane_0116.ply,1_front,1,271.28,1.28,177.98,40.86,73.37,75.71
bookshelf/bookshelf_0104.ply,2_fronts,2,85.10,78.75,89.83,8.62,59.07,35.96
airplane/airplane_0140.ply,1_front,1,146.31,78.69,59.77,73.77,70.74,8.01
bench/bench_0070.ply,2_fronts,2,173.29,78.75,87.17,14.26,60.06,32.57
bench/bench_0172.ply,2_fronts,2,311.27,78.75,50.95,81.93,70.54,13.92
chair/chair_0480.ply,1_front,1,324.88,80.12,62.72,70.84,71.23,7.11
bookshelf/bookshelf_0272.ply,2_fronts,2,59.27,78.75,89.04,62.34,76.71,11.00
chair/chair_0920.ply,1_front,1,0.78,23.28,23.61,1.49,16.12,10.35
glass_box/glass_box_0213.ply,4_fronts,4,140.55,5.55,16.01,10.90,10.82,4.27
chair/chair_0316.ply,1_front,1,333.55,48.95,54.80,53.14,52.30,2.46
bench/bench_0028.ply,1_front,1,282.65,12.65,159.14,156.55,109.44,68.45
bench/bench_0174.ply,2_fronts,2,102.69,78.75,89.00,26.17,64.64,27.52
chair/chair_0816.ply,1_front,1,250.77,138.27,151.10,141.12,143.50,5.50
chair/chair_0674.ply,1_front,1,262.98,172.98,168.08,164.44,168.50,3.50
